employee_id,first_name,last_name,email,city,department_id
363,Ruby,Fitzgerald,ruby.fitzgerald@wsexng.com,Littleshire,5
2144,Clarence,Asmussen,clarence.asmussen@wsexng.com,Dennisborough,4
2850,Judith,Williams,judith.williams@wsexng.com,Colestad,0
2588,Norma,Beagle,norma.beagle@wsexng.com,Coreyshire,5
228,Luis,Stearns,luis.stearns@wsexng.com,South Emily,5
866,Tommy,Fronczak,tommy.fronczak@wsexng.com,Raymondchester,4
3041,David,Pikes,david.pikes@wsexng.com,North Andreaborough,1
2860,Oscar,Eberle,oscar.eberle@wsexng.com,East Lisaburgh,1
1729,Janet,Moody,janet.moody@wsexng.com,New Oliviamouth,3
2831,Tina,Miles,tina.miles@wsexng.com,Kristentown,1
115,Charles,Golden,charles.golden@wsexng.com,Moraberg,3
630,Vivian,Collier,vivian.collier@wsexng.com,East Carolynstad,5
3081,Ambrose,Shones,ambrose.shones@wsexng.com,Emilyfort,1
59,Kerri,Gilkerson,kerri.gilkerson@wsexng.com,South Denisemouth,2
1650,Felix,Hermanson,felix.hermanson@wsexng.com,Elizabethfurt,0
2584,Mario,Oneal,mario.oneal@wsexng.com,Richardmouth,1
695,Robert,Warman,robert.warman@wsexng.com,South Melissahaven,1
3319,Jessica,Allen,jessica.allen@wsexng.com,Boydborough,0
1571,Ayesha,Jacobs,ayesha.jacobs@wsexng.com,Williamsborough,5
896,Donald,Hargis,donald.hargis@wsexng.com,New Samantha,1
3980,Teresa,Goodwin,teresa.goodwin@wsexng.com,Gallaghermouth,1
1691,Cynthia,Smith,cynthia.smith@wsexng.com,Sarahmouth,0
1956,Ruby,Tape,ruby.tape@wsexng.com,Brettbury,3
600,Anthony,Austin,anthony.austin@wsexng.com,Barnesberg,3
1355,Christy,Thomas,christy.thomas@wsexng.com,Deniseburgh,2
1783,Clifford,Keller,clifford.keller@wsexng.com,Port Nathanielchester,4
2659,Seth,Johnson,seth.johnson@wsexng.com,Brendaside,4
1151,Carl,Bravo,carl.bravo@wsexng.com,South Derekmouth,1
1742,Nancy,Gunn,nancy.gunn@wsexng.com,East John,5
2820,Chad,Mulkey,chad.mulkey@wsexng.com,West Jose,0
2555,Diane,Meredith,diane.meredith@wsexng.com,Port Ryanhaven,3
3481,Daniel,Campbell,daniel.campbell@wsexng.com,Robertmouth,2
769,Melissa,Brugman,melissa.brugman@wsexng.com,Taylorchester,4
2769,Sandra,Crump,sandra.crump@wsexng.com,Cochranhaven,1
2752,Pansy,Storey,pansy.storey@wsexng.com,Lake Jeffrey,5
1708,Hazel,Linkous,hazel.linkous@wsexng.com,Lisabury,1
881,Dorothy,Shon,dorothy.shon@wsexng.com,Ninaberg,3
3245,Vera,Dearborn,vera.dearborn@wsexng.com,North Jeremy,1
1289,Bobby,Marshall,bobby.marshall@wsexng.com,Wardstad,5
3971,Dorothy,Ritter,dorothy.ritter@wsexng.com,Lake Lisafurt,2
2643,Dick,Kaufman,dick.kaufman@wsexng.com,South Monica,0
82,Francisco,Sosa,francisco.sosa@wsexng.com,New Ericfort,4
56,Ida,Greenough,ida.greenough@wsexng.com,Thomasside,2
1176,Tiffany,Fridman,tiffany.fridman@wsexng.com,Port Melissa,1
199,Susan,Simeone,susan.simeone@wsexng.com,Stoutmouth,5
891,Daniel,Strong,daniel.strong@wsexng.com,North Maryshire,5
1560,Joe,Searing,joe.searing@wsexng.com,Valeriemouth,3
646,Charles,Graham,charles.graham@wsexng.com,Michaelhaven,5
525,Susan,Reynolds,susan.reynolds@wsexng.com,Wilsonland,2
830,Debbie,Waggoner,debbie.waggoner@wsexng.com,Jessemouth,3
30,Jeffrey,Jaworski,jeffrey.jaworski@wsexng.com,Port Leslie,0
3820,Mary,Rodriquez,mary.rodriquez@wsexng.com,Thorntonborough,2
1911,Joseph,Chambers,joseph.chambers@wsexng.com,South Kimberly,4
3471,Daniel,Olson,daniel.olson@wsexng.com,Port Jameshaven,4
168,Monty,Suarez,monty.suarez@wsexng.com,North Jane,1
3151,Frank,Schuldt,frank.schuldt@wsexng.com,North Andrewfort,1
534,Adrienne,Hall,adrienne.hall@wsexng.com,New Jeffrey,0
3139,William,Allen,william.allen@wsexng.com,Amytown,5
1795,Steven,Hall,steven.hall@wsexng.com,Port Zachary,0
1524,Anthony,Hong,anthony.hong@wsexng.com,Garyfurt,5
148,Juan,James,juan.james@wsexng.com,Lake Jason,3
